# Matter power spectrum P(k) at redshift z=0
# for k=1.04709e-05 to 3.76168 h/Mpc,
# number of wavenumbers equal to 529
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047087655113e-05       4.811047184494e+01 
       2.339487472042e-05       1.045090146916e+02 
       3.636458871778e-05       1.599559381525e+02 
       4.941514873435e-05       2.150357200738e+02 
       6.258226953928e-05       2.700835453968e+02 
       7.590257106196e-05       3.253522544862e+02 
       8.941390928639e-05       3.810591524952e+02 
       1.031557218854e-04       4.374052161438e+02 
       1.171693930574e-04       4.945849733011e+02 
       1.314986420601e-04       5.527925009588e+02 
       1.461899399441e-04       6.122256246862e+02 
       1.612929589204e-04       6.730891948955e+02 
       1.768610586129e-04       7.355979059666e+02 
       1.929518130557e-04       7.999788747419e+02 
       2.096275816075e-04       8.664741267142e+02 
       2.269561258296e-04       9.353430517099e+02 
       2.450112726328e-04       1.006864869598e+03 
       2.638736214164e-04       1.081341118717e+03 
       2.836312892144e-04       1.159098142972e+03 
       3.043806826806e-04       1.240489533792e+03 
       3.262272787081e-04       1.325898448982e+03 
       3.492863861491e-04       1.415739687702e+03 
       3.736838491151e-04       1.510461361479e+03 
       3.995566374320e-04       1.610545920454e+03 
       4.270532520493e-04       1.716510280328e+03 
       4.563338531616e-04       1.828904660438e+03 
       4.875699979615e-04       1.948309738431e+03 
       5.209438560528e-04       2.075331626672e+03 
       5.566467579964e-04       2.210594205665e+03 
       5.948769324392e-04       2.354728327334e+03 
       6.358363075196e-04       2.508357571509e+03 
       6.797263009167e-04       2.672080436012e+03 
       7.267426063672e-04       2.846449183152e+03 
       7.770691038859e-04       3.031946069806e+03 
       8.308711683329e-04       3.228958198149e+03 
       8.882888063456e-04       3.437752806657e+03 
       9.494301830857e-04       3.658455216624e+03 
       1.014366169511e-03       3.891031810442e+03 
       1.083126514467e-03       4.135280338655e+03 
       1.155698108797e-03       4.390828965725e+03 
       1.232025574864e-03       4.657144777828e+03 
       1.312014127839e-03       4.933551151700e+03 
       1.395534376617e-03       5.219226661360e+03 
       1.482428521777e-03       5.513293279204e+03 
       1.572517304120e-03       5.814818518955e+03 
       1.665607066734e-03       6.122826039349e+03 
       1.761496394506e-03       6.436336455131e+03 
       1.859981948971e-03       6.754389846369e+03 
       1.960863283180e-03       7.076063612453e+03 
       2.063946569593e-03       7.400486104379e+03 
       2.169047286552e-03       7.726844865066e+03 
       2.275991980974e-03       8.054391959605e+03 
       2.384619260866e-03       8.382446321781e+03 
       2.494780179573e-03       8.710391476762e+03 
       2.606338163979e-03       9.037675189553e+03 
       2.719168619094e-03       9.363804576663e+03 
       2.833158317936e-03       9.688342735658e+03 
       2.948204662120e-03       1.001090334734e+04 
       3.064214877435e-03       1.033114813305e+04 
       3.181105190857e-03       1.064877917130e+04 
       3.298800021142e-03       1.096353832469e+04 
       3.417231204060e-03       1.127520081860e+04 
       3.536337265073e-03       1.158357000749e+04 
       3.656062746259e-03       1.188848017197e+04 
       3.776357590080e-03       1.218978706214e+04 
       3.897176579739e-03       1.248736996718e+04 
       4.018478834026e-03       1.278112476414e+04 
       4.140227353461e-03       1.307096520501e+04 
       4.262388613901e-03       1.335682197773e+04 
       4.384932203573e-03       1.363863641559e+04 
       4.507830499455e-03       1.391636503223e+04 
       4.631058379085e-03       1.418996680176e+04 
       4.754592964077e-03       1.445941443943e+04 
       4.878413391955e-03       1.472470295921e+04 
       5.002500613135e-03       1.498581661177e+04 
       5.126837210272e-03       1.524274754124e+04 
       5.251407237396e-03       1.549549391293e+04 
       5.376196076607e-03       1.574407372858e+04 
       5.501190310280e-03       1.598848853618e+04 
       5.626377607022e-03       1.622877031140e+04 
       5.751746619784e-03       1.646487913177e+04 
       5.877286894748e-03       1.669687154283e+04 
       6.002988789746e-03       1.692484924027e+04 
       6.128843401137e-03       1.714864849571e+04 
       6.254842498182e-03       1.736824575145e+04 
       6.380978464080e-03       1.758398920354e+04 
       6.507244242924e-03       1.779576428392e+04 
       6.633633291915e-03       1.800335868818e+04 
       6.760139538272e-03       1.820732617875e+04 
       6.886757340317e-03       1.840720708920e+04 
       7.013481452297e-03       1.860354939144e+04 
       7.140306992538e-03       1.879589737888e+04 
       7.267229414578e-03       1.898444971395e+04 
       7.394244480981e-03       1.916924535879e+04 
       7.521348239543e-03       1.935032985774e+04 
       7.648537001652e-03       1.952772736854e+04 
       7.775807322581e-03       1.970150231593e+04 
       7.903155983529e-03       1.987161906359e+04 
       8.030579975223e-03       2.003823768206e+04 
       8.158076482946e-03       2.020127575401e+04 
       8.285642872837e-03       2.036082932031e+04 
       8.413276679351e-03       2.051692349895e+04 
       8.540975593774e-03       2.066959540983e+04 
       8.668737453672e-03       2.081887841876e+04 
       8.796560233222e-03       2.096481925031e+04 
       8.924442034310e-03       2.110745234661e+04 
       9.052381078351e-03       2.124679757777e+04 
       9.180375698754e-03       2.138290207785e+04 
       9.308424333983e-03       2.151580752940e+04 
       9.436525521155e-03       2.164553768245e+04 
       9.564677890125e-03       2.177213900680e+04 
       9.692880158040e-03       2.189562517522e+04 
       9.821131124284e-03       2.201606421193e+04 
       9.949429665819e-03       2.213344216660e+04 
       1.007777473286e-02       2.224784563992e+04 
       1.020616534490e-02       2.235929271413e+04 
       1.033460058695e-02       2.246779729748e+04 
       1.046307960616e-02       2.257341636740e+04 
       1.059160160861e-02       2.267616163290e+04 
       1.072016585633e-02       2.277607666417e+04 
       1.084877166460e-02       2.287315636205e+04 
       1.097741839933e-02       2.296755171852e+04 
       1.110610547477e-02       2.305915159301e+04 
       1.123483235123e-02       2.314803712587e+04 
       1.136359853307e-02       2.323430620577e+04 
       1.149240356682e-02       2.331789411799e+04 
       1.162124703933e-02       2.339889261187e+04 
       1.175012857618e-02       2.347729211182e+04 
       1.187904784016e-02       2.355315933747e+04 
       1.200800452979e-02       2.362647375893e+04 
       1.213699837802e-02       2.369732377272e+04 
       1.226602915100e-02       2.376569860332e+04 
       1.239509664694e-02       2.383164342562e+04 
       1.252420069503e-02       2.389518970149e+04 
       1.265334115446e-02       2.395634871279e+04 
       1.278251791349e-02       2.401518480643e+04 
       1.291173088861e-02       2.407168462105e+04 
       1.304098002377e-02       2.412588823484e+04 
       1.317026528961e-02       2.417784519398e+04 
       1.329958668281e-02       2.422756461958e+04 
       1.342894422549e-02       2.427506287235e+04 
       1.355833796458e-02       2.432038542814e+04 
       1.368776797135e-02       2.436355079370e+04 
       1.381723434090e-02       2.440458854894e+04 
       1.394673719174e-02       2.444352562767e+04 
       1.407627666534e-02       2.448036247480e+04 
       1.420585292584e-02       2.451517254407e+04 
       1.433546615967e-02       2.454793410501e+04 
       1.446511657526e-02       2.457873911278e+04 
       1.459480440279e-02       2.460750631307e+04 
       1.472452989397e-02       2.463434007324e+04 
       1.485429332179e-02       2.465926986227e+04 
       1.498409498041e-02       2.468227090644e+04 
       1.511393518497e-02       2.470342302404e+04 
       1.524381427148e-02       2.472269551356e+04 
       1.537373259671e-02       2.474015765375e+04 
       1.550369053814e-02       2.475583366617e+04 
       1.563368849391e-02       2.476966060186e+04 
       1.576372688276e-02       2.478178810548e+04 
       1.589380614407e-02       2.479211962447e+04 
       1.602392673783e-02       2.480081755502e+04 
       1.615408914471e-02       2.480776190155e+04 
       1.628429386611e-02       2.481307948018e+04 
       1.641454142420e-02       2.481670756783e+04 
       1.654483236208e-02       2.481874283376e+04 
       1.667516724382e-02       2.481917163345e+04 
       1.680554665464e-02       2.481802042710e+04 
       1.693597120104e-02       2.481530520439e+04 
       1.706644151096e-02       2.481104386854e+04 
       1.719695823398e-02       2.480531171848e+04 
       1.732752204151e-02       2.479806433046e+04 
       1.745813362701e-02       2.478934994698e+04 
       1.758879370622e-02       2.477918139730e+04 
       1.771950301742e-02       2.476756861208e+04 
       1.785026232167e-02       2.475456164055e+04 
       1.798107240316e-02       2.474016941172e+04 
       1.811193406941e-02       2.472438187514e+04 
       1.824284815170e-02       2.470724262517e+04 
       1.837381550532e-02       2.468886293980e+04 
       1.850483700995e-02       2.466908716660e+04 
       1.863591357003e-02       2.464801762845e+04 
       1.876704611516e-02       2.462572300567e+04 
       1.889823560045e-02       2.460216103465e+04 
       1.902948300701e-02       2.457736592626e+04 
       1.916078934233e-02       2.455136608020e+04 
       1.929215564075e-02       2.452419123663e+04 
       1.942358296395e-02       2.449581044273e+04 
       1.955507240143e-02       2.446630385389e+04 
       1.968662507099e-02       2.443563444687e+04 
       1.981824211930e-02       2.440387471571e+04 
       1.994992472242e-02       2.437100117613e+04 
       2.008167408639e-02       2.433704071330e+04 
       2.021349144777e-02       2.430201902485e+04 
       2.034537807429e-02       2.426594731494e+04 
       2.047733526546e-02       2.422884824418e+04 
       2.060936435321e-02       2.419075026131e+04 
       2.074146670257e-02       2.415164857604e+04 
       2.087364371235e-02       2.411164924753e+04 
       2.100589681587e-02       2.407057372616e+04 
       2.113822748166e-02       2.402861451010e+04 
       2.127063721425e-02       2.398573107773e+04 
       2.140312755498e-02       2.394195166505e+04 
       2.153570008272e-02       2.389725209522e+04 
       2.166835641482e-02       2.385166695102e+04 
       2.180109820785e-02       2.380528646336e+04 
       2.193392715860e-02       2.375797479198e+04 
       2.206684500492e-02       2.370993025009e+04 
       2.219985352669e-02       2.366104823790e+04 
       2.233295454681e-02       2.361130233401e+04 
       2.246614993216e-02       2.356085839437e+04 
       2.259944159469e-02       2.350961304269e+04 
       2.273283149244e-02       2.345762623180e+04 
       2.286632163068e-02       2.340493363365e+04 
       2.299991406303e-02       2.335153212008e+04 
       2.313361089262e-02       2.329732691536e+04 
       2.326741427331e-02       2.324244519886e+04 
       2.340132641094e-02       2.318681037281e+04 
       2.353534956462e-02       2.313064808515e+04 
       2.366948604803e-02       2.307400099643e+04 
       2.380373823083e-02       2.301673034975e+04 
       2.393810854002e-02       2.295842991293e+04 
       2.407259946145e-02       2.289957237540e+04 
       2.420721354128e-02       2.284068597083e+04 
       2.434195338755e-02       2.278091857064e+04 
       2.447682167180e-02       2.272046983986e+04 
       2.461182113068e-02       2.265951477908e+04 
       2.474695456768e-02       2.259810060772e+04 
       2.488222485493e-02       2.253614379388e+04 
       2.501763493494e-02       2.247350762935e+04 
       2.515318782255e-02       2.241065845123e+04 
       2.528888660683e-02       2.234717242386e+04 
       2.542473445312e-02       2.228295370456e+04 
       2.556073460508e-02       2.221882769509e+04 
       2.569689038683e-02       2.215339261302e+04 
       2.583320520521e-02       2.208806077832e+04 
       2.596968255202e-02       2.202229809087e+04 
       2.610632600640e-02       2.195610921542e+04 
       2.624313923731e-02       2.188979224573e+04 
       2.638012600606e-02       2.182273756329e+04 
       2.651729016889e-02       2.175604308292e+04 
       2.665463567974e-02       2.168776947197e+04 
       2.679216659306e-02       2.161967942826e+04 
       2.692988706668e-02       2.155132360097e+04 
       2.706780136487e-02       2.148268334678e+04 
       2.720591386143e-02       2.141366991428e+04 
       2.734422904296e-02       2.134441011106e+04 
       2.748275151221e-02       2.127478775125e+04 
       2.762148599153e-02       2.120525781890e+04 
       2.776043732652e-02       2.113474956875e+04 
       2.789961048973e-02       2.106417256088e+04 
       2.803901058459e-02       2.099353696549e+04 
       2.817864284938e-02       2.092273309396e+04 
       2.831851266148e-02       2.085126713897e+04 
       2.845862554166e-02       2.077999923979e+04 
       2.859898715861e-02       2.070806941229e+04 
       2.873960333362e-02       2.063651070134e+04 
       2.888048004546e-02       2.056408729128e+04 
       2.902162343545e-02       2.049189341463e+04 
       2.916303981267e-02       2.041958265920e+04 
       2.930473565953e-02       2.034698145024e+04 
       2.944671763735e-02       2.027382680438e+04 
       2.958899259239e-02       2.020116801874e+04 
       2.973156756198e-02       2.012795108875e+04 
       2.987444978092e-02       2.005469904996e+04 
       3.001764668825e-02       1.998118329849e+04 
       3.016116593415e-02       1.990750568156e+04 
       3.030501538727e-02       1.983378020838e+04 
       3.044920314230e-02       1.975988763776e+04 
       3.059373752789e-02       1.968571052119e+04 
       3.073862711490e-02       1.961200303838e+04 
       3.088388072504e-02       1.953746035635e+04 
       3.102950743989e-02       1.946369721745e+04 
       3.117551661026e-02       1.938894198677e+04 
       3.132191786608e-02       1.931447501649e+04 
       3.146872112669e-02       1.923992993760e+04 
       3.161593661154e-02       1.916539739178e+04 
       3.176357485151e-02       1.909080835509e+04 
       3.191164670068e-02       1.901623154161e+04 
       3.206016334864e-02       1.894133281527e+04 
       3.220913633349e-02       1.886660914040e+04 
       3.235857755535e-02       1.879152578780e+04 
       3.250849929059e-02       1.871688257195e+04 
       3.265891420676e-02       1.864181177211e+04 
       3.280983537824e-02       1.856694689039e+04 
       3.296127630271e-02       1.849189777689e+04 
       3.311325091839e-02       1.841716013209e+04 
       3.326577362223e-02       1.834212802197e+04 
       3.341885928901e-02       1.826725358997e+04 
       3.357252329145e-02       1.819220232029e+04 
       3.372678152136e-02       1.811725787679e+04 
       3.388165041192e-02       1.804223193400e+04 
       3.403714696122e-02       1.796687122008e+04 
       3.419328875698e-02       1.789219667254e+04 
       3.435009400272e-02       1.781711922495e+04 
       3.450758154537e-02       1.774218195842e+04 
       3.466577090437e-02       1.766712549028e+04 
       3.482468230253e-02       1.759204432975e+04 
       3.498433669858e-02       1.751735221045e+04 
       3.514475582166e-02       1.744238683418e+04 
       3.530596220784e-02       1.736766701113e+04 
       3.546797923879e-02       1.729274851542e+04 
       3.563083118283e-02       1.721791280038e+04 
       3.579454323843e-02       1.714317639732e+04 
       3.595914158040e-02       1.706831773106e+04 
       3.612465340905e-02       1.699382034618e+04 
       3.629110700234e-02       1.691896934674e+04 
       3.645853177146e-02       1.684453017563e+04 
       3.662695831997e-02       1.676991024858e+04 
       3.679641850685e-02       1.669527984110e+04 
       3.696694551372e-02       1.662073172277e+04 
       3.713857391662e-02       1.654637276197e+04 
       3.731133976266e-02       1.647205781322e+04 
       3.748528065199e-02       1.639734881953e+04 
       3.766043582556e-02       1.632324656636e+04 
       3.783684625902e-02       1.624877176671e+04 
       3.801455476347e-02       1.617440492092e+04 
       3.819360609359e-02       1.610013784111e+04 
       3.837404706370e-02       1.602629080637e+04 
       3.855592667258e-02       1.595173025441e+04 
       3.873929623792e-02       1.587752085931e+04 
       3.892420954097e-02       1.580339071410e+04 
       3.911072298277e-02       1.572928525892e+04 
       3.929889575270e-02       1.565547571332e+04 
       3.948879001074e-02       1.558135921759e+04 
       3.968047108473e-02       1.550707181429e+04 
       3.987400768412e-02       1.543298982508e+04 
       4.006947213180e-02       1.535903258804e+04 
       4.026694061607e-02       1.528487040654e+04 
       4.046649346459e-02       1.521099142391e+04 
       4.066821544287e-02       1.513673020983e+04 
       4.087219607974e-02       1.506263193141e+04 
       4.107853002298e-02       1.498857377068e+04 
       4.128731742830e-02       1.491449862882e+04 
       4.149866438547e-02       1.484044712442e+04 
       4.171268338602e-02       1.476594613435e+04 
       4.192949383728e-02       1.469181339146e+04 
       4.214922262836e-02       1.461746578767e+04 
       4.237200475435e-02       1.454289124447e+04 
       4.259798400611e-02       1.446842917880e+04 
       4.282731373387e-02       1.439380963320e+04 
       4.306015769414e-02       1.431911713200e+04 
       4.329669099104e-02       1.424441122623e+04 
       4.353710112472e-02       1.416940352039e+04 
       4.378158916150e-02       1.409426460449e+04 
       4.403037104288e-02       1.401927503271e+04 
       4.428367905333e-02       1.394383027380e+04 
       4.454176347003e-02       1.386802532998e+04 
       4.480489442184e-02       1.379224059249e+04 
       4.507336398955e-02       1.371637781089e+04 
       4.534748858505e-02       1.363987657219e+04 
       4.562761165424e-02       1.356352802734e+04 
       4.591410675667e-02       1.348652820345e+04 
       4.620738108525e-02       1.340925434898e+04 
       4.650787950158e-02       1.333180058998e+04 
       4.681608917804e-02       1.325378327421e+04 
       4.713254495607e-02       1.317537180839e+04 
       4.745783555355e-02       1.309670062118e+04 
       4.779261078254e-02       1.301715068257e+04 
       4.813758997466e-02       1.293721940965e+04 
       4.849357185570e-02       1.285670428928e+04 
       4.886144616717e-02       1.277557175363e+04 
       4.924220740316e-02       1.269386473514e+04 
       4.963697112001e-02       1.261109886932e+04 
       5.004699338967e-02       1.252722452228e+04 
       5.047369411160e-02       1.244269229678e+04 
       5.091868508187e-02       1.235697591392e+04 
       5.138380395200e-02       1.227034737237e+04 
       5.187115550825e-02       1.218192045445e+04 
       5.238316207918e-02       1.209220548918e+04 
       5.292262535330e-02       1.200089852779e+04 
       5.349280247292e-02       1.190752166074e+04 
       5.409749997035e-02       1.181173864520e+04 
       5.474118990591e-02       1.171391450171e+04 
       5.542915336856e-02       1.161255917663e+04 
       5.616765709447e-02       1.150786155673e+04 
       5.696416885996e-02       1.139939947099e+04 
       5.782761550782e-02       1.128556779681e+04 
       5.876868198517e-02       1.116508705770e+04 
       5.980013691108e-02       1.103771439323e+04 
       6.093714353748e-02       1.090031855900e+04 
       6.219746469005e-02       1.075021436157e+04 
       6.360138497001e-02       1.058470736514e+04 
       6.517105074155e-02       1.039820946293e+04 
       6.692880574644e-02       1.018522806721e+04 
       6.889411303625e-02       9.939248365234e+03 
       7.107907118225e-02       9.652339551468e+03 
       7.348357873739e-02       9.319115247787e+03 
       7.609246939702e-02       8.937640064878e+03 
       7.887698922808e-02       8.512084727881e+03 
       8.180070502611e-02       8.053408530805e+03 
       8.482694418299e-02       7.577813134267e+03 
       8.792429567720e-02       7.103828262994e+03 
       9.106879801286e-02       6.649888092358e+03 
       9.424359150604e-02       6.230469041349e+03 
       9.743744039655e-02       5.856235014252e+03 
       1.006431166440e-01       5.532580023855e+03 
       1.038560733856e-01       5.260363641889e+03 
       1.070734899998e-01       5.036378572816e+03 
       1.102936316467e-01       4.854708423278e+03 
       1.135154368041e-01       4.706955630247e+03 
       1.167382579098e-01       4.583766431798e+03 
       1.199617005864e-01       4.475249040603e+03 
       1.231855248265e-01       4.372121983174e+03 
       1.264095845722e-01       4.266554237400e+03 
       1.296337908854e-01       4.152508068000e+03 
       1.328580895394e-01       4.026667925951e+03 
       1.360824473995e-01       3.887796782756e+03 
       1.393068441505e-01       3.737301253488e+03 
       1.425312672739e-01       3.578328995361e+03 
       1.457557089973e-01       3.415471791309e+03 
       1.489801644424e-01       3.253628899482e+03 
       1.522046305001e-01       3.097558846825e+03 
       1.554291051459e-01       2.951505911833e+03 
       1.586535870249e-01       2.818769773565e+03 
       1.618780751973e-01       2.701049769492e+03 
       1.651025689847e-01       2.599158925024e+03 
       1.683270678751e-01       2.512704404943e+03 
       1.715515714644e-01       2.440081150903e+03 
       1.747760794214e-01       2.379112552840e+03 
       1.780005914645e-01       2.326873758743e+03 
       1.812251073481e-01       2.280571982098e+03 
       1.844496268536e-01       2.237442583212e+03 
       1.876741497832e-01       2.194822330754e+03 
       1.908986759563e-01       2.150341345442e+03 
       1.941232052063e-01       2.102127495545e+03 
       1.973477373792e-01       2.049652748617e+03 
       2.005722723315e-01       1.992873325447e+03 
       2.037968099295e-01       1.932314082252e+03 
       2.070213500481e-01       1.869299941393e+03 
       2.102458925702e-01       1.805570436839e+03 
       2.134704373858e-01       1.742431494210e+03 
       2.166949843918e-01       1.681538775852e+03 
       2.199195334910e-01       1.624114842359e+03 
       2.231440845920e-01       1.570858860451e+03 
       2.263686376086e-01       1.522462592760e+03 
       2.295931924594e-01       1.479077456521e+03 
       2.328177490679e-01       1.440698281839e+03 
       2.360423073614e-01       1.406849934661e+03 
       2.392668672714e-01       1.376872539600e+03 
       2.424914287329e-01       1.349948616214e+03 
       2.457159916845e-01       1.325133791520e+03 
       2.489405560678e-01       1.301466767983e+03 
       2.521651218277e-01       1.278091808627e+03 
       2.553896889116e-01       1.254322343733e+03 
       2.586142572698e-01       1.229791484519e+03 
       2.618388268548e-01       1.204034975914e+03 
       2.650633976216e-01       1.177225065342e+03 
       2.682879695273e-01       1.149442345820e+03 
       2.715125425311e-01       1.120907791454e+03 
       2.747371165942e-01       1.092092978863e+03 
       2.779616916795e-01       1.063449864046e+03 
       2.811862677515e-01       1.035468324150e+03 
       2.844108447765e-01       1.008624827465e+03 
       2.876354227224e-01       9.832122932147e+02 
       2.908600015582e-01       9.595194219640e+02 
       2.940845812547e-01       9.376439777120e+02 
       2.973091617835e-01       9.175232991015e+02 
       3.005337431179e-01       8.990145302358e+02 
       3.037583252319e-01       8.819158731939e+02 
       3.069829081009e-01       8.659277600444e+02 
       3.102074917013e-01       8.508334152738e+02 
       3.134320760103e-01       8.363263958568e+02 
       3.166566610062e-01       8.221850578530e+02 
       3.198812466681e-01       8.081077396132e+02 
       3.231058329760e-01       7.939380464790e+02 
       3.263304199106e-01       7.795649049800e+02 
       3.295550074535e-01       7.649546559914e+02 
       3.327795955868e-01       7.501326966143e+02 
       3.360041842935e-01       7.351972859786e+02 
       3.392287735572e-01       7.202637853378e+02 
       3.424533633621e-01       7.054869373654e+02 
       3.456779536929e-01       6.909999418953e+02 
       3.489025445350e-01       6.769077262352e+02 
       3.521271358742e-01       6.633164493468e+02 
       3.553517276971e-01       6.503042775806e+02 
       3.585763199904e-01       6.379480511933e+02 
       3.618009127416e-01       6.262027260344e+02 
       3.650255059385e-01       6.151214824332e+02 
       3.682500995692e-01       6.046364629828e+02 
       3.714746936225e-01       5.946295989438e+02 
       3.746992880874e-01       5.850166547109e+02 
       3.779238829533e-01       5.757178160403e+02 
       3.811484782100e-01       5.666525542653e+02 
       3.843730738477e-01       5.576844222138e+02 
       3.875976698567e-01       5.488233262866e+02 
       3.908222662278e-01       5.400020963006e+02 
       3.940468629522e-01       5.312334504617e+02 
       3.972714600212e-01       5.225184743829e+02 
       4.004960574263e-01       5.137999672366e+02 
       4.037206551596e-01       5.051644931318e+02 
       4.069452532133e-01       4.966363552067e+02 
       4.101698515796e-01       4.882254025820e+02 
       4.133944502513e-01       4.800029843924e+02 
       4.166190492213e-01       4.719860949184e+02 
       4.198436484826e-01       4.642026157272e+02 
       4.230682480286e-01       4.566938312774e+02 
       4.262928478528e-01       4.494078422886e+02 
       4.295174479489e-01       4.423904451128e+02 
       4.327420483107e-01       4.355771325618e+02 
       4.359666489325e-01       4.290001802969e+02 
       4.391912498084e-01       4.226316944136e+02 
       4.424158509328e-01       4.164555734583e+02 
       4.456404523004e-01       4.104125640784e+02 
       4.488650539059e-01       4.045154255711e+02 
       4.520896557441e-01       3.987399127700e+02 
       4.553142578102e-01       3.930233103401e+02 
       4.585388600992e-01       3.873810320910e+02 
       4.617634626065e-01       3.817968030856e+02 
       4.649880653276e-01       3.762562315059e+02 
       4.682126682580e-01       3.708026694842e+02 
       4.714372713934e-01       3.654394039705e+02 
       4.899198283194e-01       3.363315517511e+02 
       5.097408563726e-01       3.093073070064e+02 
       5.311535733539e-01       2.836095741794e+02 
       5.544972425853e-01       2.584087254697e+02 
       5.802400180168e-01       2.343351725383e+02 
       6.090512157473e-01       2.109717281209e+02 
       6.419298872142e-01       1.880298138689e+02 
       6.804483610638e-01       1.654257395778e+02 
       7.272484105039e-01       1.427507389185e+02 
       7.871356153759e-01       1.196168494127e+02 
       8.696544257329e-01       9.552048247203e+01 
       9.948256424336e-01       7.026855752225e+01 
       1.197853152514e+00       4.568856794528e+01 
       1.497864116545e+00       2.697009201748e+01 
       1.885310015751e+00       1.552982775285e+01 
       2.373461537443e+00       8.861166611798e+00 
       2.988011039160e+00       5.016994230241e+00 
       3.761683027919e+00       2.820215832792e+00 
