# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.380844961626e-10       4.162304559298e-15       3.531162919682e-13       0.000000000000e+00       8.340743737099e-09       4.526752820333e-10      -1.842411845871e-12 
    3       1.307011418988e-10       5.319990706735e-15       3.956093204854e-13       0.000000000000e+00       5.106227124333e-09       3.204847921151e-10      -1.392867740041e-12 
    4       1.237136689028e-10       4.589576832845e-15       3.693237901939e-13       0.000000000000e+00       3.534336090897e-09       2.424591678557e-10      -9.097266996907e-13 
    5       1.184727796701e-10       3.053573447391e-15       3.141985094559e-13       0.000000000000e+00       2.629395540401e-09       1.913453599890e-10      -5.037719768921e-13 
    6       1.148691433020e-10       1.703933847740e-15       2.529194609076e-13       0.000000000000e+00       2.048617725563e-09       1.555547706801e-10      -2.053830033754e-13 
    7       1.125589029586e-10       9.210401699262e-16       1.985867519628e-13       0.000000000000e+00       1.649178302672e-09       1.293726931320e-10      -1.571603016246e-14 
    8       1.112046516187e-10       5.959190226056e-16       1.568920682810e-13       0.000000000000e+00       1.360425763618e-09       1.095548485067e-10       8.045736359943e-14 
    9       1.105644669692e-10       4.788161528121e-16       1.290241586608e-13       0.000000000000e+00       1.143717145373e-09       9.411515458076e-11       1.067069347136e-13 
   10       1.104451125411e-10       4.073295153223e-16       1.136113190608e-13       0.000000000000e+00       9.762404537261e-10       8.183521498321e-11       8.904286443117e-14 
   11       1.107383219245e-10       3.415150689300e-16       1.080179864095e-13       0.000000000000e+00       8.357022964871e-10       7.266484428451e-11       5.158492682268e-14 
   12       1.113722753096e-10       2.971795622738e-16       1.092329595893e-13       0.000000000000e+00       7.303168343898e-10       6.436768187351e-11       1.197582506218e-14 
   13       1.122420859217e-10       2.849545673981e-16       1.145330213296e-13       0.000000000000e+00       6.437895183130e-10       5.752956648040e-11      -1.809903264290e-14 
   14       1.132692094392e-10       2.967252497732e-16       1.219218428003e-13       0.000000000000e+00       5.717900044646e-10       5.154312796920e-11      -3.433709266282e-14 
   15       1.144740484321e-10       3.209523016675e-16       1.301510014985e-13       0.000000000000e+00       5.111816651263e-10       4.650098942625e-11      -3.708249127936e-14 
   16       1.158557561370e-10       3.554278781509e-16       1.385313810473e-13       0.000000000000e+00       4.596438405277e-10       4.221608759558e-11      -3.035198778635e-14 
   17       1.173073860742e-10       4.055719957917e-16       1.469283386189e-13       0.000000000000e+00       4.154273765116e-10       3.851182790381e-11      -1.935448696573e-14 
   18       1.188553621356e-10       4.765113306943e-16       1.555192949503e-13       0.000000000000e+00       3.770496003354e-10       3.520289915242e-11      -9.034831152712e-15 
   19       1.205144327785e-10       5.685484144990e-16       1.644934003608e-13       0.000000000000e+00       3.438906150804e-10       3.227895458713e-11      -1.925020521463e-15 
